_id,timestamp,uiVersion,user ID,userID,event,parameter,__v
64ecad46422709a28eaef5b8,2023-08-28T14:20:53.484Z,2,1012,1012,session_started,"""clicked#1012""",0
64ecae40422709a28eaef5ba,2023-08-28T14:25:03.248Z,2,1012,1012,request_plans_button,clicked,0
64ecaed1422709a28eaef5bc,2023-08-28T14:27:29.328Z,2,1012,1012,smily_interaction,#education#Assoc-voc#Prof-school#occupation#Prof-specialty#Exec-managerial#workclass#Private#Federal-gov#hardship_flag#N#Y#smily_value#5,0
64ecaf1b422709a28eaef5be,2023-08-28T14:28:43.679Z,2,1012,1012,smily_interaction,#education#Assoc-voc#Prof-school#hours_per_week#40#51#occupation#Prof-specialty#Exec-managerial#workclass#Private#Federal-gov#hardship_flag#N#Y#smily_value#3,0
64ecaff8422709a28eaef5c0,2023-08-28T14:32:23.878Z,2,1012,1012,smily_interaction,#education#Assoc-voc#Prof-school#occupation#Prof-specialty#Exec-managerial#workclass#Private#Federal-gov#hardship_flag#N#Y#smily_value#5,0
64ecaff8422709a28eaef5c2,2023-08-28T14:32:24.792Z,2,1012,1012,smily_interaction,#education#Assoc-voc#Prof-school#occupation#Prof-specialty#Exec-managerial#workclass#Private#Federal-gov#hardship_flag#N#Y#smily_value#5,0
64ecb006422709a28eaef5c4,2023-08-28T14:32:37.512Z,2,1012,1012,smily_interaction,#education#Assoc-voc#Prof-school#occupation#Prof-specialty#Exec-managerial#workclass#Private#Federal-gov#hardship_flag#N#Y#smily_value#1,0
64ecb00f422709a28eaef5c6,2023-08-28T14:32:46.866Z,2,1012,1012,smily_interaction,#education#Assoc-voc#Prof-school#occupation#Prof-specialty#Exec-managerial#workclass#Private#Federal-gov#hardship_flag#N#Y#smily_value#2,0
64ecb048422709a28eaef5c8,2023-08-28T14:33:44.648Z,2,1012,1012,modify_plan_button,#CLICKED#education#Assoc-voc#Prof-school#hours_per_week#40#51#occupation#Prof-specialty#Exec-managerial#workclass#Private#Federal-gov#hardship_flag#N#Y,0
64ecb059422709a28eaef5ca,2023-08-28T14:34:00.983Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:48,0
64ecb059422709a28eaef5cc,2023-08-28T14:34:00.735Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:43,0
64ecb059422709a28eaef5d2,2023-08-28T14:34:00.802Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:45,0
64ecb059422709a28eaef5d4,2023-08-28T14:34:01.023Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:49,0
64ecb059422709a28eaef5d6,2023-08-28T14:34:01.052Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:50,0
64ecb059422709a28eaef5d8,2023-08-28T14:34:01.096Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:51,0
64ecb059422709a28eaef5da,2023-08-28T14:34:00.842Z,2,1012,1012,modify_value_numerical,Hours per week#original_value:40#Prefrences_value:46,0
